id,trial,prob1,prob2,mag1,mag2,stimID,choice,happiness,gain_loss,group,context,CR,winLose,choseRisky,mag1_norm,mag2_norm,outcome
P_MoodFlexi_01_Behavior10_01s2v0,88,0.8,0.2,10.0,60.0,2.0,0.0,,0.0,s2v,volatile,0,0,1.0,0.0,0.7142857142857143,0.0
P_MoodFlexi_01_Behavior10_01s2v0,89,0.2,0.8,20.0,40.0,2.0,1.0,,0.0,s2v,volatile,0,0,1.0,0.14285714285714285,0.42857142857142855,0.0
P_MoodFlexi_01_Behavior10_01s2v0,90,0.2,0.8,40.0,10.0,1.0,0.0,,0.0,s2v,volatile,0,0,1.0,0.42857142857142855,0.0,0.0
P_MoodFlexi_01_Behavior10_01s2v0,91,0.2,0.8,10.0,10.0,2.0,1.0,0.31640625,10.0,s2v,volatile,0,1,1.0,0.0,0.0,0.0
P_MoodFlexi_01_Behavior10_01s2v0,92,0.2,0.8,40.0,10.0,1.0,0.0,,0.0,s2v,volatile,0,0,1.0,0.42857142857142855,0.0,0.0
P_MoodFlexi_01_Behavior10_01s2v0,93,0.2,0.8,10.0,60.0,2.0,1.0,,60.0,s2v,volatile,0,1,1.0,0.0,0.7142857142857143,0.7142857142857143
P_MoodFlexi_01_Behavior10_01s2v0,94,0.2,0.8,40.0,20.0,2.0,1.0,0.2916666666666667,0.0,s2v,volatile,0,0,1.0,0.42857142857142855,0.14285714285714285,0.0
P_MoodFlexi_01_Behavior10_01s2v0,95,0.2,0.8,40.0,40.0,1.0,0.0,,0.0,s2v,volatile,0,0,1.0,0.42857142857142855,0.42857142857142855,0.0
P_MoodFlexi_01_Behavior10_01s2v0,96,0.2,0.8,10.0,80.0,2.0,1.0,,80.0,s2v,volatile,0,1,1.0,0.0,1.0,1.0
P_MoodFlexi_01_Behavior10_01s2v0,97,0.8,0.2,40.0,10.0,1.0,1.0,0.6614583333333334,40.0,s2v,volatile,0,1,1.0,0.42857142857142855,0.0,0.0
P_MoodFlexi_01_Behavior10_01s2v0,98,0.8,0.2,10.0,80.0,1.0,1.0,,10.0,s2v,volatile,0,1,1.0,0.0,1.0,1.0
P_MoodFlexi_01_Behavior10_01s2v0,99,0.8,0.2,10.0,60.0,1.0,1.0,,10.0,s2v,volatile,0,1,1.0,0.0,0.7142857142857143,0.7142857142857143
P_MoodFlexi_01_Behavior10_01s2v0,100,0.8,0.2,40.0,20.0,1.0,1.0,,0.0,s2v,volatile,0,0,1.0,0.42857142857142855,0.14285714285714285,0.0
P_MoodFlexi_01_Behavior10_01s2v0,101,0.2,0.8,40.0,10.0,1.0,0.0,0.609375,0.0,s2v,volatile,0,0,1.0,0.42857142857142855,0.0,0.0
